nm,W/nm
966.0000,2.22521e-002
967.0000,2.17168e-002
968.0000,2.15685e-002
969.0000,2.15391e-002
970.0000,2.13455e-002
971.0000,2.11250e-002
972.0000,2.15624e-002
973.0000,2.13316e-002
974.0000,2.13776e-002
975.0000,2.08933e-002
976.0000,2.21368e-002
977.0000,2.18102e-002
978.0000,2.21617e-002
979.0000,2.22345e-002
980.0000,2.24607e-002
981.0000,2.31201e-002
982.0000,2.32333e-002
983.0000,2.42684e-002
984.0000,2.51011e-002
985.0000,2.60688e-002
986.0000,2.67478e-002
987.0000,2.84229e-002
988.0000,2.87542e-002
989.0000,2.96558e-002
990.0000,3.10994e-002
991.0000,3.23190e-002
992.0000,3.30130e-002
993.0000,3.37566e-002
994.0000,3.40860e-002
995.0000,3.33965e-002
996.0000,3.45679e-002
997.0000,3.39737e-002
998.0000,3.35680e-002
999.0000,3.26830e-002
1000.0000,3.25106e-002
1001.0000,3.13850e-002
1002.0000,3.08579e-002
1003.0000,2.92726e-002
1004.0000,2.92120e-002
1005.0000,2.81146e-002
1006.0000,2.63161e-002
1007.0000,2.60446e-002
1008.0000,2.57173e-002
1009.0000,2.49802e-002
1010.0000,2.45276e-002
1011.0000,2.42764e-002
1012.0000,2.35412e-002
1013.0000,2.26981e-002
1014.0000,2.27786e-002
1015.0000,2.22453e-002
1016.0000,2.17794e-002
1017.0000,2.22576e-002
1018.0000,2.22315e-002
1019.0000,2.09601e-002
1020.0000,2.11575e-002
1021.0000,2.11059e-002
1022.0000,2.08058e-002
1023.0000,2.01231e-002
1024.0000,2.13520e-002
1025.0000,2.07848e-002
1026.0000,2.08626e-002
1027.0000,2.06191e-002
1028.0000,1.99879e-002
1029.0000,2.13598e-002
1030.0000,2.04468e-002
1031.0000,2.15858e-002
1032.0000,2.08466e-002
1033.0000,2.02294e-002
1034.0000,2.09200e-002
1035.0000,2.10684e-002
1036.0000,2.09602e-002
1037.0000,2.03066e-002
1038.0000,2.03183e-002
1039.0000,2.11597e-002
1040.0000,2.10937e-002
1041.0000,1.97719e-002
1042.0000,2.02478e-002
1043.0000,2.14848e-002
1044.0000,1.95124e-002
1045.0000,2.20635e-002
1046.0000,2.15005e-002
1047.0000,2.03717e-002
1048.0000,2.04533e-002
1049.0000,2.30480e-002
1050.0000,2.09584e-002
1051.0000,2.34226e-002
1052.0000,2.40379e-002
1053.0000,2.35077e-002
1054.0000,2.38147e-002
1055.0000,2.48333e-002
1056.0000,2.51243e-002
1057.0000,2.55973e-002
1058.0000,2.43664e-002
1059.0000,2.45580e-002
1060.0000,2.61482e-002
1061.0000,2.42965e-002
1062.0000,2.73648e-002
1063.0000,2.77505e-002
1064.0000,2.94832e-002
1065.0000,3.15405e-002
1066.0000,3.38272e-002
1067.0000,3.40751e-002
1068.0000,3.71516e-002
1069.0000,3.88181e-002
1070.0000,4.28196e-002
1071.0000,4.42817e-002
1072.0000,4.59345e-002
1073.0000,5.02201e-002
1074.0000,5.26618e-002
1075.0000,5.38471e-002
1076.0000,5.51022e-002
1077.0000,5.90606e-002
1078.0000,6.11622e-002
1079.0000,5.88340e-002
1080.0000,6.20542e-002
1081.0000,5.99074e-002
1082.0000,6.37009e-002
1083.0000,6.25028e-002
1084.0000,6.15197e-002
1085.0000,6.16009e-002
1086.0000,5.92070e-002
1087.0000,5.76808e-002
1088.0000,5.85927e-002
1089.0000,5.85951e-002
1090.0000,5.62084e-002
1091.0000,5.51547e-002
1092.0000,5.22824e-002
1093.0000,5.33293e-002
1094.0000,5.03400e-002
1095.0000,5.00121e-002
1096.0000,4.53402e-002
1097.0000,4.19343e-002
1098.0000,4.67220e-002
1099.0000,4.26514e-002
1100.0000,4.57348e-002
