T,u,v
149159.53221005,0.18042984,0.26516347
150651.12753215,0.18042583,0.26514752
152157.63880748,0.18042186,0.26513174
153679.21519555,0.18041793,0.26511612
155216.00734751,0.18041405,0.26510067
156768.16742098,0.18041020,0.26508537
158335.84909519,0.18040640,0.26507024
159919.20758614,0.18040263,0.26505526
161518.39966200,0.18039891,0.26504044
163133.58365862,0.18039523,0.26502577
164764.91949521,0.18039159,0.26501125
166412.56869016,0.18038798,0.26499689
168076.69437706,0.18038441,0.26498267
169757.46132083,0.18038089,0.26496860
171455.03593404,0.18037739,0.26495468
173169.58629338,0.18037394,0.26494090
174901.28215632,0.18037052,0.26492727
176650.29497788,0.18036714,0.26491377
178416.79792766,0.18036380,0.26490042
180200.96590694,0.18036049,0.26488720
182002.97556600,0.18035721,0.26487412
183823.00532166,0.18035397,0.26486117
185661.23537488,0.18035077,0.26484836
187517.84772863,0.18034760,0.26483568
189393.02620592,0.18034446,0.26482314
191286.95646798,0.18034135,0.26481072
193199.82603266,0.18033828,0.26479843
195131.82429298,0.18033524,0.26478626
197083.14253591,0.18033223,0.26477423
199053.97396127,0.18032926,0.26476231
201044.51370088,0.18032631,0.26475052
203054.95883789,0.18032340,0.26473885
205085.50842627,0.18032052,0.26472730
207136.36351053,0.18031766,0.26471587
209207.72714564,0.18031484,0.26470456
211299.80441710,0.18031205,0.26469336
213412.80246127,0.18030928,0.26468228
215546.93048588,0.18030655,0.26467131
217702.39979074,0.18030384,0.26466046
219879.42378865,0.18030116,0.26464971
222078.21802653,0.18029851,0.26463908
224299.00020680,0.18029589,0.26462856
226541.99020887,0.18029330,0.26461814
228807.41011095,0.18029073,0.26460783
231095.48421206,0.18028819,0.26459763
233406.43905418,0.18028568,0.26458753
235740.50344473,0.18028319,0.26457753
238097.90847917,0.18028073,0.26456764
240478.88756397,0.18027829,0.26455785
242883.67643960,0.18027588,0.26454816
245312.51320400,0.18027349,0.26453856
247765.63833604,0.18027113,0.26452907
250243.29471940,0.18026879,0.26451967
252745.72766660,0.18026648,0.26451037
255273.18494326,0.18026419,0.26450117
257825.91679269,0.18026193,0.26449205
260404.17596062,0.18025969,0.26448304
263008.21772023,0.18025747,0.26447411
265638.29989743,0.18025528,0.26446527
268294.68289640,0.18025311,0.26445653
270977.62972537,0.18025096,0.26444787
273687.40602262,0.18024883,0.26443931
276424.28008285,0.18024672,0.26443082
279188.52288368,0.18024464,0.26442243
281980.40811251,0.18024258,0.26441412
284800.21219364,0.18024054,0.26440590
287648.21431557,0.18023852,0.26439776
290524.69645873,0.18023652,0.26438970
293429.94342332,0.18023454,0.26438173
296364.24285755,0.18023259,0.26437383
299327.88528613,0.18023065,0.26436602
302321.16413899,0.18022873,0.26435829
305344.37578038,0.18022684,0.26435063
308397.81953818,0.18022496,0.26434305
311481.79773356,0.18022310,0.26433555
314596.61571090,0.18022126,0.26432813
317742.58186801,0.18021944,0.26432078
320920.00768669,0.18021764,0.26431351
324129.20776355,0.18021586,0.26430631
327370.49984119,0.18021409,0.26429918
330644.20483960,0.18021234,0.26429213
333950.64688800,0.18021062,0.26428514
337290.15335688,0.18020891,0.26427823
340663.05489045,0.18020721,0.26427139
344069.68543935,0.18020554,0.26426462
347510.38229374,0.18020388,0.26425791
350985.48611668,0.18020224,0.26425128
354495.34097785,0.18020061,0.26424471
358040.29438763,0.18019900,0.26423821
361620.69733150,0.18019741,0.26423177
365236.90430482,0.18019584,0.26422540
368889.27334787,0.18019428,0.26421909
372578.16608135,0.18019273,0.26421285
376303.94774216,0.18019121,0.26420667
380066.98721958,0.18018970,0.26420055
383867.65709178,0.18018820,0.26419450
387706.33366269,0.18018672,0.26418850
391583.39699932,0.18018525,0.26418257
395499.23096931,0.18018380,0.26417670
399454.22327901,0.18018237,0.26417088
403448.76551180,0.18018094,0.26416513
407483.25316692,0.18017954,0.26415943
411558.08569858,0.18017815,0.26415379
415673.66655557,0.18017677,0.26414821
419830.40322113,0.18017540,0.26414268
424028.70725334,0.18017405,0.26413721
428268.99432587,0.18017272,0.26413180
432551.68426913,0.18017139,0.26412644
436877.20111182,0.18017008,0.26412113
441245.97312294,0.18016879,0.26411588
445658.43285417,0.18016750,0.26411068
450115.01718271,0.18016624,0.26410553
454616.16735454,0.18016498,0.26410044
459162.32902808,0.18016373,0.26409539
463753.95231836,0.18016250,0.26409040
468391.49184155,0.18016128,0.26408546
473075.40675996,0.18016008,0.26408057
477806.16082756,0.18015888,0.26407572
482584.22243584,0.18015770,0.26407093
487410.06466020,0.18015653,0.26406618
492284.16530680,0.18015537,0.26406148
497207.00695987,0.18015423,0.26405683
502179.07702946,0.18015309,0.26405223
507200.86779976,0.18015197,0.26404767
512272.87647776,0.18015086,0.26404316
517395.60524253,0.18014976,0.26403869
522569.56129496,0.18014867,0.26403427
527795.25690791,0.18014759,0.26402989
533073.20947699,0.18014652,0.26402556
538403.94157176,0.18014546,0.26402127
543787.98098748,0.18014442,0.26401702
549225.86079735,0.18014338,0.26401282
554718.11940532,0.18014236,0.26400865
560265.30059938,0.18014134,0.26400453
565867.95360537,0.18014034,0.26400046
571526.63314143,0.18013935,0.26399642
577241.89947284,0.18013836,0.26399242
583014.31846757,0.18013739,0.26398846
588844.46165224,0.18013642,0.26398455
594732.90626877,0.18013547,0.26398067
600680.23533145,0.18013452,0.26397683
606687.03768477,0.18013359,0.26397303
612753.90806162,0.18013266,0.26396927
618881.44714223,0.18013175,0.26396554
625070.26161365,0.18013084,0.26396186
631320.96422979,0.18012994,0.26395821
637634.17387209,0.18012905,0.26395459
644010.51561081,0.18012817,0.26395102
650450.62076692,0.18012730,0.26394748
656955.12697459,0.18012644,0.26394397
663524.67824433,0.18012559,0.26394050
670159.92502678,0.18012474,0.26393706
676861.52427704,0.18012391,0.26393366
683630.13951981,0.18012308,0.26393030
690466.44091501,0.18012226,0.26392696
697371.10532416,0.18012145,0.26392366
704344.81637740,0.18012064,0.26392040
711388.26454118,0.18011985,0.26391716
718502.14718659,0.18011906,0.26391396
725687.16865846,0.18011828,0.26391079
732944.04034504,0.18011751,0.26390765
740273.48074849,0.18011675,0.26390455
747676.21555598,0.18011599,0.26390147
755152.97771154,0.18011524,0.26389843
762704.50748865,0.18011450,0.26389541
770331.55256354,0.18011377,0.26389243
778034.86808917,0.18011304,0.26388947
785815.21677007,0.18011233,0.26388655
793673.36893777,0.18011161,0.26388365
801610.10262714,0.18011091,0.26388079
809626.20365341,0.18011021,0.26387795
817722.46568995,0.18010952,0.26387514
825899.69034685,0.18010884,0.26387236
834158.68725032,0.18010816,0.26386961
842500.27412282,0.18010749,0.26386688
850925.27686405,0.18010683,0.26386418
859434.52963269,0.18010618,0.26386151
868028.87492902,0.18010553,0.26385887
